xmag ymag zmag xacc yacc zacc
196 300 -6153 850 2440 3138
385 -4 -5999 1006 2375 3053
385 -4 -5999 1065 2457 3000
385 -4 -5999 1167 2503 2744
385 -4 -5999 1120 2895 2620
385 -4 -5999 1269 2605 3055
385 -4 -5999 1315 2731 3094
385 -4 -5999 1345 2927 3288
411 -290 -5867 1152 3022 2989
411 -290 -5867 1032 3055 2988
411 -290 -5867 809 2959 2703
411 -290 -5867 520 2899 2676
411 -290 -5867 365 2709 2915
411 -290 -5867 599 2857 2979
469 -568 -5712 823 2961 3143
469 -568 -5712 961 2623 2980
469 -568 -5712 803 2549 3307
469 -568 -5712 868 2668 3275
469 -568 -5712 1000 2656 3052
469 -568 -5712 1014 2542 3041
469 -568 -5712 840 2397 3019
208 -878 -5607 821 2291 3320
208 -878 -5607 1028 2188 2949
208 -878 -5607 1290 2014 2519
208 -878 -5607 1277 1817 2536
208 -878 -5607 2069 -509 1535
208 -878 -5607 4353 1567 2381
208 -878 -5607 1214 1991 2623
-286 -1063 -5608 946 1818 2533
-286 -1063 -5608 1163 1525 2477
-286 -1063 -5608 1064 1654 2916
-286 -1063 -5608 1214 1630 2483
-286 -1063 -5608 1553 2089 2074
-286 -1063 -5608 226 1892 2770
-286 -1063 -5608 1473 1536 2323
-864 -1101 -5715 2572 758 455
-864 -1101 -5715 1512 1140 2081
-864 -1101 -5715 3133 1203 977
-864 -1101 -5715 1581 1235 1464
-864 -1101 -5715 1492 1030 1572
-864 -1101 -5715 1511 951 1130
-864 -1101 -5715 1884 738 502
-1575 -963 -5633 2506 612 1500
-1575 -963 -5633 2111 757 1206
-1575 -963 -5633 2013 491 722
-1575 -963 -5633 2007 702 854
-1575 -963 -5633 2433 655 456
-1575 -963 -5633 2782 528 567
-2308 -700 -5419 3084 288 585
-2308 -700 -5419 2939 247 392
-2308 -700 -5419 2842 221 375
-2308 -700 -5419 3198 248 237
-2308 -700 -5419 3650 116 281
-2308 -700 -5419 3868 46 -2
-2308 -700 -5419 4141 -7 3
-2993 -427 -5043 4316 -222 -18
